"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Petstore API","0","CRUD","3","0","Поиск","0"
"0","Petstore API","0","CRUD","3","0","Обновление","0"
"0","Petstore API","0","Негативные сценарии","2","0","Некорректный ввод","0"
"0","Petstore API","0","Контракт","1","0","Стабильность","0"
"0","Petstore API","0","Контракт","3","0","Схема ответа","0"
"0","Petstore API","0","CRUD","1","0","Чтение","0"
"0","Petstore API","0","Негативные сценарии","2","0","Несуществующий питомец","0"
"0","Petstore API","0","Негативные сценарии","0","3","Валидация по спецификации","0"
"0","Petstore API","0","CRUD","1","0","Удаление","0"
"0","Petstore API","0","CRUD","1","0","Создание","0"
"0","Petstore API","0","Контракт","1","0","Заголовки","0"
