"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","Ответ приходит быстрее 5 секунд","tests","Wed Sep 09 08:09:22 UTC 2026","passed","Wed Sep 09 08:09:22 UTC 2026","TestPetSchema","test_schema","",""
"","9","Content-Type ответа — application/json","tests","Wed Sep 09 08:09:22 UTC 2026","passed","Wed Sep 09 08:09:22 UTC 2026","TestPetSchema","test_schema","",""
"","9","GET по несуществующему id возвращает 404 и тело ошибки","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetNegative","test_negative","",""
"","9","Ответ на создание соответствует схеме Pet","tests","Wed Sep 09 08:09:22 UTC 2026","passed","Wed Sep 09 08:09:22 UTC 2026","TestPetSchema","test_schema","",""
"","9","DELETE по несуществующему id возвращает 404","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetNegative","test_negative","",""
"","27","Удалённый питомец больше недоступен","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetCrud","test_crud","",""
"","9","BUG-002: полностью пустое тело принимается со статусом 200","tests","Wed Sep 09 08:09:22 UTC 2026","skipped","Wed Sep 09 08:09:22 UTC 2026","TestPetNegative","test_negative","",""
"","9","BUG-001: питомец без обязательного name создаётся успешно","tests","Wed Sep 09 08:09:21 UTC 2026","skipped","Wed Sep 09 08:09:22 UTC 2026","TestPetNegative","test_negative","",""
"","19","Фильтр findByStatus отдаёт только питомцев со статусом «PetStatus.AVAILABLE»","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetCrud","test_crud","",""
"","9","Синтаксически битый JSON отклоняется с 400","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetNegative","test_negative","",""
"","10","Фильтр findByStatus отдаёт только питомцев со статусом «PetStatus.SOLD»","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetCrud","test_crud","",""
"","18","Изменение статуса на «PetStatus.SOLD» сохраняется при чтении","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetCrud","test_crud","",""
"","123","Питомец создаётся и возвращается с теми же полями","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetCrud","test_crud","",""
"","10","Ответ на чтение соответствует схеме Pet","tests","Wed Sep 09 08:09:22 UTC 2026","passed","Wed Sep 09 08:09:22 UTC 2026","TestPetSchema","test_schema","",""
"","14","Каждый элемент выдачи findByStatus соответствует схеме Pet","tests","Wed Sep 09 08:09:22 UTC 2026","passed","Wed Sep 09 08:09:22 UTC 2026","TestPetSchema","test_schema","",""
"","10","BUG-003: findByStatus принимает несуществующий статус","tests","Wed Sep 09 08:09:22 UTC 2026","skipped","Wed Sep 09 08:09:22 UTC 2026","TestPetNegative","test_negative","",""
"","10","Созданный питомец доступен по id","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetCrud","test_crud","",""
"","9","PUT меняет имя и статус питомца","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetCrud","test_crud","",""
"","19","Изменение статуса на «PetStatus.PENDING» сохраняется при чтении","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetCrud","test_crud","",""
"","10","Нечисловой id не приводит к ошибке сервера","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetNegative","test_negative","",""
"","10","Фильтр findByStatus отдаёт только питомцев со статусом «PetStatus.PENDING»","tests","Wed Sep 09 08:09:21 UTC 2026","passed","Wed Sep 09 08:09:21 UTC 2026","TestPetCrud","test_crud","",""
